relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, München",Remote,Freelance,,"Freelancer, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-designer-uav-systeme-entwicklungsprojekt-luftfahrt-m-w-d-106586,2026-06-22T15:40:18.222375+00:00
0,Test Engineer | Germany,solcom,Pro­duct Cyber Se­cu­ri­ty En­gi­neer (PSE) (m/w/d),SOLCOM Client,Biberach,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/product-cyber-security-engineer-pse-m-w-d-1015440,2026-06-22T15:40:18.222830+00:00
0,Test Engineer | Germany,solcom,Soft­ware En­gi­neer - PLC (m/w/d),SOLCOM Client,International,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-plc-m-w-d-106474,2026-06-22T15:40:18.223021+00:00
0,Test Engineer | Germany,solcom,SCADA En­gi­neer / OT Netz­ex­per­te BESS (m/w/d),SOLCOM Client,"Remote, München",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/scada-engineer-ot-netzexperte-bess-m-w-d-106409,2026-06-22T15:40:18.223292+00:00
0,Test Engineer | Germany,solcom,Sys­tems En­gi­neer - Wea­pon In­te­gra­ti­on (UAV / Ae­ro­space & De­fence) (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/systems-engineer-weapon-integration-uav-aerospace-defence-m-w-d-106397,2026-06-22T15:40:18.223480+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,Python,"Sql, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/data-product-engineer-m-w-d-106375,2026-06-22T15:40:18.223576+00:00
0,Test Engineer | Germany,solcom,HW En­gi­neer In­fo­tain­ment-Sys­tem (m/w/d),SOLCOM Client,"International, Bucharest",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hw-engineer-infotainment-system-m-w-d-106360,2026-06-22T15:40:18.223669+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, München",On-site,Freelance,Hil,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-engineer-kinematic-systems-mechanism-m-w-d-106276,2026-06-22T15:40:18.223779+00:00
0,Test Engineer | Germany,solcom,Elec­tro­nics En­gi­neer for cel­lu­lar tech­no­lo­gies and RF front­ends (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/electronics-engineer-for-cellular-technologies-and-rf-frontends-m-w-d-106264,2026-06-22T15:40:18.223872+00:00
0,Test Engineer | Germany,solcom,AI Data En­gi­neer im Be­reich Wis­sens­ma­nage­ment Bots (m/w/d),SOLCOM Client,D8,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ai-data-engineer-im-bereich-wissensmanagement-bots-m-w-d-106260,2026-06-22T15:40:18.223961+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"International, Bucharest, Romania",Remote,Freelance,"Can, I2C, Uart",Express,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hw-engineer-infotainment-system-measurements-up-to-12-ghz-4-person-en-m-w-d-106253,2026-06-22T15:40:18.224050+00:00
0,Test Engineer | Germany,solcom,Se­ni­or Au­to­mo­ti­ve Tes­ting En­gi­neer (m/w/d),SOLCOM Client,"International, Bucharest",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automotive-testing-engineer-m-w-d-106249,2026-06-22T15:40:18.224141+00:00
0,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,D9,Remote,Freelance,,"Confluence, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/zertifizierter-projektmanager-bau-anlagenbau-industrieprojekten-capex-opex-epc-epcm-m-w-d-106128,2026-06-22T15:42:22.268585+00:00
0,Python Test | Germany,solcom,Data Go­ver­nan­ce Ex­per­te (m/w/d),SOLCOM Client,Düsseldorf,On-site,Freelance,Go,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/data-governance-experte-m-w-d-1015560,2026-06-22T15:44:21.688853+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,D5,On-site,Freelance,"Nlp, Python","Azure, Spark, Sql, Databricks, R, Git",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/data-scientist-m-w-d-106318,2026-06-22T15:44:21.688950+00:00
